volume (ml),Absorbance (mAU),volume (mL),Buffer B Concentration (%)
0.679143,159.760803,6.790057,0
0.682794,160.753754,6.826563,0
0.686446,161.631317,6.863069,0
0.690097,162.426163,6.899574,0
0.693748,163.522568,6.93608,0
0.697399,164.7948,6.972586,0
0.701051,165.927673,7.009091,0
0.704702,166.701584,7.045597,0
0.708353,166.884399,7.082103,0
0.712005,167.230499,7.118608,0
0.715656,167.458359,7.155114,0
0.719307,167.000595,7.19162,0
0.722959,166.567047,7.228126,0
0.72661,165.740036,7.264631,0
0.730261,164.617035,7.301137,0
0.733913,163.718796,7.337643,0
0.737564,162.615509,7.374148,0
0.741215,161.556747,7.410654,0
0.744866,160.906693,7.44716,0
0.748518,159.690079,7.483665,0
0.752169,158.630783,7.520171,0
0.75582,157.608673,7.556677,0
0.759472,156.335999,7.593183,0
0.763123,154.811554,7.629688,0
0.766774,153.202805,7.666193,0
0.770426,151.343185,7.702699,0
0.774077,149.395844,7.739205,0
0.777728,146.976456,7.775711,0
0.78138,144.290146,7.812216,0
0.785031,141.300217,7.848722,0
0.788682,138.485016,7.885228,0
0.792333,136.264175,7.921733,0
0.795985,133.808899,7.958239,0
0.799636,131.204254,7.994745,0
0.803287,128.674347,8.031251,0
0.806939,125.934799,8.067757,0
0.81059,123.51432,8.104262,0
0.814241,121.248985,8.140768,0
0.817893,119.129326,8.177273,0
0.821544,117.585632,8.213778,0
0.825195,115.857811,8.250284,0
0.828847,113.997566,8.28679,0
0.832498,112.781082,8.323296,0
0.836149,111.445869,8.359801,0
0.8398,110.12561,8.396307,0
0.843452,108.971748,8.432813,0
0.847103,107.873917,8.469318,0
0.850754,106.852966,8.505824,0
0.854406,106.056503,8.54233,0
0.858057,105.379723,8.578835,0
0.861708,104.825729,8.615341,0
0.86536,104.249077,8.651847,0
0.869011,103.797714,8.688353,0
0.872662,103.201172,8.724858,0
0.876314,102.321312,8.761364,0
0.879965,101.297432,8.79787,0
0.883616,100.252647,8.834375,0
0.887267,99.228981,8.870881,0
0.890919,98.148949,8.907387,0
0.89457,97.099907,8.943892,0
0.898221,96.052238,8.980398,0
0.901873,94.829979,9.016904,0
0.905524,93.265419,9.05341,0
0.909175,91.91642,9.089915,0
0.912827,90.434364,9.126421,0
0.916478,88.907837,9.162927,0
0.920129,87.447464,9.199432,0
0.923781,86.067635,9.235938,0
0.927432,84.70295,9.272444,0
0.931083,83.379395,9.308949,0
0.934734,81.954155,9.345455,0
0.938386,80.787544,9.381961,0
0.942037,79.931099,9.418467,0
0.945688,79.17643,9.454972,0
0.94934,78.578407,9.491478,0
0.952991,78.092712,9.527984,0
0.956642,78.49955,9.564489,0
0.960294,78.76313,9.600995,0
0.963945,78.651398,9.637501,0
